U1,U2,X,B1,A1,B2,B3,A2,A3,A4,Y
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,0,1,0,1,1,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,1,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,1,1,1,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
0,0,1,1,1,1,1,0,1,0,0
1,1,1,1,0,0,0,1,0,1,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,1,1,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,0,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,0,1,0,1,1,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,0,1,1,1,1,1,1,1,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,1,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,1,1,0,1,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,1,1,0
1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,1,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,1,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,1,0,1,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,1,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,1,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,0,1,0,1,1,0,0,0,1
1,1,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,1,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0
0,1,1,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,0,0,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,1,0,1,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,1,0,0,0,1,1,0,1,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
1,1,0,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,1,1,0
1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1,0,1
1,1,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1
